Title,Location,Company,Salary,Sponsored,Description
Data Scientist,"Mohali, Punjab",spineor webservices Pvt Ltd Mohali,None,Organic,"We are hiring for Data Scientist/Data Analyst.
Candidate must have worked on large set of data
Candidate must have worked on either java,scala,python,azure spark
Contact No : - 9877730843.
Experience: - 1 to 3 years
Job Type: Full-time
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Junior Data Scientist/ta,"Gurgaon, Haryana",WSD Consultant,"₹7,00,000 - ₹15,00,000 a year",Organic,"1 - 5 Years
Gurgaon, Bangalore, Mumbai, Pune, Chennai, Hyderabad


Job Description
candidate should qualify checklist written below:

Ques: Does the candidate has strong knowledge in Data Science/ Machine Learning/ Artificial Intelligence ? Please mention

Ques: Is the candidate willing to work full time as a Data Science program Manager/ Academic and content delivery/ End to End Curriculam delivery and management ?

Ques: Does the candidate has Data Science/ Machine learning content development and academic delivery experience/ Faculty Development programs in any Teaching Institution or E - Learning Companies?


Job Specifications

Exp. 1.0 - 5.0 Year(s)
Annual Fixed CTC Min : 7.0 Lacs Max: 15.0 Lacs
Qualification B.Tech/B.E. , Any Post Graduation
No of openings 3
Additional Doc/Msg
Salary
7 Lac To 15 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Work Experience
1 - 5 Years

Qualification
Other Bachelor Degree, MD/Medicinae Doctor, Other Doctorate Degree



Key Skills
Data Scientist

Company Profile
Company Name
Great Learning


About Company
Great Learning is an online and hybrid learning company that offers high-quality, impactful, and industry-relevant learning programs to working professionals. These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future. These programs are delivered through a convenient and robust technology-enabled experience with no disruption to their careers.

Contact Person
Pramod Kumar

Address
Gurgaon

Mobile
8506010400

Email ID
jobwsd@gmail.com"
Machine Learning Engineer/Data Scientist,"Pune, Maharashtra",Mindbowser Info Solutions Pvt Ltd,None,Organic,"Company Description
Mindbowser Info solutions is a digital transformation services provider working with global brands aiding on their journey to digital transformation. Mindbowser offers a suite of products and services around user experience, automation, analytics, and mobility that in turn helps businesses become more efficient and improves profitability.

Job Description
We are looking for a Machine Learning Engineer/Data Scientist to work alongside our innovative and growing data science team.The role will be based in our HQ, located in Pune.
Website: https://www.mindbowser.com/
Job description
Our Data Analysts are expected to explore data, technologies, and the application of mathematical techniques to derive data insights.
Ability to gather the domain specific knowledge of the data.
Should have good quantitative skills and the ability to tell a story using data.
Ability to build and fine tune machine learning algorithms which are first used at a proof-of-concept stage and then at a production level.
Should be able to translate prototypes into new products, and provide guidelines for large-scale implementation.
Exp: 0-6 Months

Key Requirements
Programming skills (Python preferred).
Experience of statistical techniques.
Selecting features, building and optimizing classifiers.
Processing, cleansing, and verifying the integrity of data used for analysis.
A basic understanding of the graphs, chart libraries used for data visualization.

Qualifications
BE/Btech/BCA/MCA
Graduate in any stream
Experience Range - 0-1 year

Additional Information

null"
Machine Learning Engineer/Data Scientist,"Bengaluru, Karnataka",Autodesk,None,Organic,"Job Requisition ID #
20WD40887
Job Title
Machine Learning Engineer/Data Scientist
Job Description
Autodesk is seeking a Machine Learning Engineer/Data Scientist to join our Sales Data Science team. We build innovative data products and machine learning solutions for Autodesk's sales teams. In this critical role, you will work alongside product development, product managers, and data engineers to tackle fundamental data science models in our Asia-Pacific (APAC) sales region.
Data, automation and advanced analytics technologies are drastically transforming our sales team in APAC and this person will be the data scientist in charge of overseeing our data science practice in Singapore, India, China, Korea, Australia, and New Zealand. As the Data Scientist for APAC, your primary responsibility will be to empower our sales teams with machine learning models and data analytics to make them more productive and better equipped to be customer-centric. You will collaborate with our Data Scientists in Barcelona and the US to build major data science products.

The ideal candidate is a strong communicator and has experience as a Data Analyst or Data Engineer who has strong Data Science leanings, and has built out multiple analytic models and machine learning algorithms before.

You will be in charge of establishing and maintaining machine learning deployment pipelines, including their associated life-cycle management systems and practices, in coordination with their architecture peers and communities of practice throughout the company

Your responsibilities will be:

Designing and implementing Machine Learning models and algorithms that enable account selection, customer targeting, and process improvements for the sales teams in APAC.
Develop and maintain model deployment pipelines for many types of machine learning including supervised and unsupervised learning as well as CNNs, RNNs or other deep learning algorithms
Working closely with data scientists, domain experts and sales team, both to understand model performance management requirements and design suitable inferencing instrumentation systems and practices that meet them
Designing and implementing outbound data engineering pipelines that serve curated datasets to business intelligence and reporting
Designing integration solutions including applications as needed to deliver inferencing outcomes or curated data sets for consumption and action
Ensuring your model deployment, outbound data engineering and integration pipelines are architecturally and operationally integrated with inbound ingestion and contextualization pipelines designed by your peer domain architects
Delivering and presenting results to sales leaders regarding their business, forecast, pipeline, and potential customers.

Education & Experience:
Very strong communicator
Advanced degrees in computer science and data science strongly preferred, though an equivalent level engineering, data science or mathematics degree, a technical undergraduate degree and relevant experience will also be considered
5+ plus years of relevant work experience
3+ years of experience working with data scientists in a data engineering or production machine learning inferencing capacity, working with various types of supervised and unsupervised learning algorithms for classification, recommendation, anomaly detection, clustering and segmentation, as well as CNNs, RNNs or other deep learning algorithms
5+ years of full-stack experience developing large scale distributed systems and multi-tier applications
5+ years of programming proficiency in, at least, one modern JVM language (e.g. Java, Kotlin, Scala) and at least one other high-level programming language such as Python
2+ years of production DevOps experience
3+ years of programming on the Apache Spark platform, leveraging both low level RDD and MLlib APIs and the higher-level APIs (SparkContext, DataFrames, DataSets, GraphFrames, SparkSQL, SparkML).
Demonstrated deep understanding of Spark core architecture including physical plans, DAGs, UDFs, job management and resource management
At least 1 year of implementation experience with Apache Airflow, and a demonstrated expert level understanding of both segmented and unsegmented Directed Acyclic Graphs and their operationalization
Experience working with Neo4J and a demonstrated ability to lead architecture efforts for its implementation
Strong technical collaboration and communication skills

Additional Qualifications:
Passion for sales and customer segmentation
Proficiency with functional programming methods and their appropriate use in distributed systems
Proficiency with AWS foundational compute services, including S3 and EC2, ECS and EKS, IAM and CloudWatch
Proficiency with Sagemaker, Kubernetes, and Docker

Preferred Qualifications
Experience with data science toolkits like: R, Pandas, Jupyter, scikit, TensorFlow, etc.
Experience with Sagemaker and data pipelines in AWS
Familiarity with statistics concepts and analysis, e.g. hypothesis testing, regression, etc.
Experience building dashboards in platform: Power BI, Tableau, Qlik, Looker, etc.
Salesforce experience is a plus
At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.
Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers ."
Machine Learning Engineer,"Bengaluru, Karnataka",Involvio,None,Organic,"We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products. Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we'd like to meet you. Your ultimate goal will be to shape and build efficient self-learning applications.

Responsibilities:
Designing and developing machine learning and deep learning systems.
Running machine learning tests and experiments.
Implementing appropriate ML algorithms.
Study and transform data science prototypes.
Design machine learning systems.
Research and implement appropriate ML algorithms and tools.
Develop machine learning applications according to requirements.
Select appropriate datasets and data representation methods.
Run machine learning tests and experiments.
Perform statistical analysis and fine-tuning using test results.
Train and retrain systems when necessary.
Extend existing ML libraries and frameworks.
Keep abreast of developments in the field.
Requirements:
Proven experience as a Machine Learning Engineer or similar role.
Understanding of data structures, data modeling and software architecture.
Deep knowledge of math, probability, statistics and algorithms.
Ability to write robust code in Python, Java and R.
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn).
Excellent communication skills.
Ability to work in a team.
Outstanding analytical and problem-solving skills.
BSc in Computer Science, Mathematics or similar field; Master's degree is a plus."
Machine Learning part time job/internship at Multiple locati...,"Chandigarh, Chandigarh",Revelin7 Technology Private Limited,"₹10,000 a month",Organic,"About the company:
We are a team of IITians passionate building multiple products for IT infrastructure. We are looking for candidates with entrepreneurial attitude who can stay with us for long post internships as well.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Going through research papers and working on the algorithm for a stated problem 2. Attending daily brainstorming sessions with a task to complete the whitepaper 3. Implementing algorithms and writing programs
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 6th Jun'20 and 11th Jul'20
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 1
Categories: Machine Learning,Data Science"
Data Scientist,"Dadar, Mumbai, Maharashtra",Emotix Miko,None,Organic,"Summary
Miko is a Mumbai based advanced consumer robotics innovation lab passionate about bringing the best of technology to young learners everywhere. The company’s flagship product, Miko 2, is the first robot that uses playful, conversational learning to educate, engage and entertain kids. Our robots have been designed for the age group of 5-10 and we actively sell in US, UK and UAE besides India.
We are looking for a Data Scientist in our Product team. You will execute the planned analytics data points to translate raw data into valuable business insights. In this role, we expect you to have strong logical reasoning skills and precision in implementation of a task.
The ability to communicate effectively is essential. If you have industry experience or strong aptitude for analytics, we’d like to meet you.
Your goal will be to help all functions take better data-driven decisions and hence, contribute richly towards creating high quality user experiences.
Responsibilities
 Provide analytic support by using various tools to perform detailed quantitative analysis
 Execute research and analysis, including data gathering, processing and modeling from different data sources
 Process and verify integrity of data used for analysis to correct discrepancies and ensure quality
 Implement data analysis/visualization and explain complex solutions to people from multiple functions and hierarchical levels
 Understand business needs and objectives
 Generate regular reports and insights for relevant divisions (e.g. product, marketing, gaming, AI)
Requirements
 Work experience or proven aptitude of at least 3 years as a Data Scientist
 Deep knowledge of Excel, Python, SQL and at least project level experience of
analytics coding in iOS and/or android
 Familiarity with business analytics and visualisation tools (e.g. Google Analytics, Mixpanel, Tableau, Graphana)
 Superb communication skills and strong organizational abilities
 Attention to detail and problem-solving aptitude
 B.Sc./B.Tech. or relevant courses in Statistics, Data Management or a related field
Expected Start Date: 1/7/2020
Job Type: Full-time
Experience:
Data Science : 3 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19"
"Intern - Machine Learning & Python (Remote, 2 months) Intern...","Ahmedabad, Gujarat",AINE Info Tech Pvt Ltd,"₹12,000 a month",Organic,"No. of opening 5
Other Benefits Selected interns can work from home or remote locations.
Functional Area IT
Industry Type IT-Software-Software Services
Duration 2 Month(s)
Keywords Python, SQL, Algorithms, Data Structures, Statistical Modeling, Machine Learning, Natural Language Processing NLP , Deep Learning
1. Develop engineering applications related to data mining, computer vision, and natural language processing

2. Write code that is well designed, scalable and produce deliverable results

3. Work on ML algorithms, their fundamentals, and mathematical underpinnings

4. Effectively communicate results/findings through data visualization
Desired Candidate Profile
Profile Description
Candidates should:

Have ability to assess the quality and comprehensiveness of data

Have a proven code proficiency in Python and SQL

- Have knowledge of databases - relational (SQL) and key-value (Redis)

Have strong algorithmic thinking, creative problem solving and the ability to take ownership and do independent research

Have strong communication and interpersonal skills with the ability to collaborate and iterate with feedback from business/tech stakeholders

Have an educational background in any quantitative field (Computer Science / Mathematics / Computational Sciences and related disciplines)

Have worked on Python, Databases, Statistics, Data Visualization, Machine Learning, Deep Learning frameworks
Under Graduate Qualification B.Sc (Any Specialization) BCA / BCM (Any Specialization) BE / B.Tech (Any Specialization)
PG Qualifications M.E. / M.Tech (Any Specialization) M.Sc (Any Specialization) MCA (Any Specialization)
Note: Candidate should have either UG or PG qualifications"
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"IT Data & Analytics Developer - Indore, India
The Developer shall work with the analysts to develop and maintain automation tools primarily to facilitate analysis and data-flow. The activities shall cover a wide range. It shall involve extracting, transforming and loading the data from various vendors and resources to databases, maintaining consistency in data sources. The developer shall be part of the initial team and will have an opportunity to design system and schemas from scratch.
Essential Job Functions
Build and Optimize the MS SQL Server Database around 3TB of data.
Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.
Perform data integrity, quality and audit checks.
Prototype and build dashboards integrating multiple data sources.
Performance Tuning of the SQL Server databases and tables.
Write SQL queries and stored procedures to surface data to business owners and applications.
Create, publish and maintain ETL jobs.
Pushing timely data to Tableau Server and prepare Tableau Reports.
Data Mining techniques.
Other Skills & Abilities
Bachelors in Engineering or Technology at a reputed University.
4-6 years’ experience at a major software development company or Team.
Advanced knowledge & experience of programming in SQL Server - stored procedures, views and SSIS.
Knowledge of reporting tools - Tableau Server/ Tableau Desktop/ Power BI.
Entrepreneurial spirit and ability to get things done under pressure.
Desire to work in a team-oriented culture.
BioUrja Group is an EEO employer. All qualified candidates will receive consideration for all positions without regard to race, color, age, religion, sex (including pregnancy), sexual orientation, gender identity, national origin, veteran status, disability, genetic information, or any other characteristic protected by law.
BioUrja Group is not currently accepting unsolicited resumes from search firms for this position. Regardless of past practice, all resumes submitted by search firms to any employee at BioUrja Group via-email, the Internet or directly to hiring managers at BioUrja Group in any form without a valid written agreement in place for that specific position will be deemed the sole property of BioUrja Group. As a result, no fee will be paid in the event the candidate is hired by BioUrja Group.
Job Type: Full-time
Pay: ₹358.00 - ₹438.00 per hour
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Industry:
Information Design & Documentation"
Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",Organic,"**We're DeepR Analytics (www.deepranalytics.com), a company based out of Toronto, Canada, that develops algorithmic trading solutions and products primarily focused on merging innovative trading algorithms with recent advances in machine learning algorithms such as deep learning and reinforced learning to automate trading and reap profits. Another major responsibility for this team is to conduct quantitative research on various trading & markets related topics in order to improve our algorithms.
Responsibilities:
You will be part of the Algorithm trading desk, and responsible for quantitative research and data analysis
Quantitative research would involve:
Querying historical high-frequency market data to identify price patterns
Applying numerical analyses to draw insights from real-time financial market data.
Identifying good quantitative trading strategies.
General technical and fundamental capital markets research.
Enhance the firm’s trading activities by reviewing and analyzing trade executions and reconciliations
Prepare performance sheets & reports
**
Perks & Benefits:
Cutting-edge work equipment.
Two-way free transportation
Health Insurance for self & family
Health and wellness benefits
**
Requirements
University degree/college diploma in Computer Science and experience in systems analysis, programming, and database experience with extensive business knowledge
Advanced knowledge of SQL with a minimum of 4 years of experience
Advanced knowledge of Presto for writing queries and procedures
Solid understanding of database design and development methodology, including query optimization
Understanding of relevant and emerging database technologies and tools
Visualization skills using Tableau
Hands-on experience with large scale data warehousing and analytics projects
Experience with implementing AWS services in a variety of distributed computing & enterprise environments.
Strong interest in financial markets
Understanding of market data
Passion for observing markets in real-time
Exceptional attention to detail and desire to understand issues deeply
Some experience in Python, R, is preferred and enthusiasm about learning these languages is required
Strong knowledge of excel
Strong English communication skills
Initiator and good leadership skills
Willing to work in the night shift: 6:30 PM to 3:00 AM
Strong pattern recognition skills, strong memory and attention to detail
Job Type: Full-time
Salary: ₹600,000.00 to ₹1,200,000.00 /year
Experience:
work: 1 year (Required)
total work: 1 year (Required)
Education:
Bachelor's (Required)"
Data Lake Developer,"Bengaluru, Karnataka",Mylan,"₹15,00,000 - ₹23,00,000 a year",Organic,"POSITION PURPOSE:
As the Senior Azure Data Engineer, you will design and build data services and solutions within the Azure data framework / ecosystem. You will be accountable for operating this platform at Mylan. Accountabilities include the development of Azure data platforms that can support the data analytics requirements of the company’s business community, data science use cases, as well as the data management functions that govern and support the use of data across the enterprise. This will be a hands on Azure technical expertise role. You will be expected to ensure our Azure data platform delivers scalable solutions that transform data to insights which lead to tangible business value.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
1. Create and maintain optimal data pipeline architecture on Azure platform.
2. Develop batch processing solutions by using Data Factory and Azure Databricks.
3. Delivering a Data Warehouse in the Azure Cloud.
4. Design relational and non-relational data stores on Azure.
5. Identify, design, and implement internal process improvements : automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc..
6. Developing Big Data Solutions with Azure Machine Learning.
7. Strong interaction with business departments to provide consultative support for digitization efforts, as well as close collaboration with the Business Technology management, focused on future innovation topics.
8. Participate and lead in design sessions, demos and prototype sessions, testing and training workshops with business users and other IT colleagues.
9. Design & Build for any API Development or SQL DB development.
10. Providing service management, orchestration, monitoring and management requirements of Azure cloud platform.
11. Create data tools / products for analytics and data scientist team members that assist them in building and innovative solutions that drive tangible business value.
12. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources.
13. Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
14. Design security for source data access. Chose the appropriate authentication mechanism, (ie Azure Active Directory (Azure AD), etc).
15. Design for real-time processing by using Stream Analytics and Azure Databricks.
SKILLS AND ABILITIES:
1. 10 years of experience in Microsoft technologies including SQL.
2. At least 5 years as a Sr Developer with at least 3 years hands on experience as Azure Data Engineer building large scale Azure data solutions.
3. At least 5+ years of experience in Azure based data solutions.
4. At least 3+ years of experience on working with large projects including the most recent project in the cloud (Azure) or on prem with a focus on Azure Data services.
5. At least 5+ years of Hands-on administration, configuration management, monitoring, performance tuning of Hadoop/Distributed platforms.
6. At least 5+ years of demonstrated experience at least in the most recent 2+ years of designing and delivering solutions using Cortana Intelligence suite of analytics services part of Microsoft Azure including Azure Machine Learning Studio, HDInsight, Polybase, Azure Data Lake Analytics, Azure Data Warehouse, Streaming Analytics, Data Catalog, R/R Studio
7. Experience in designing and building logics required for optimal extraction, transformation, and loading of data from a wide variety of data sources
8. Experience within Data Security design, including but not limited to:
a. Choosing the appropriate authentication mechanism, such as Azure Active Directory (Azure AD)
b. Defining strategies for data encryption for data at rest and in transit
9. Experience partnering with Business Analysts and Data Scientists to enable effective and efficient data preparation and delivery
10. Experienced in vendor management and working with 3rd parties onshore & offshore.
11. Experience working in a global team.
12. Experience working in an Analytics / Big Data solutions on MS Azure Cloud
13. Experience with code management tools, automated testing
14. Experience creating and maintaining optimal data pipeline architecture on Azure platform
15. Experience developing batch and real-time processing solutions by using Data Factory and Azure Databricks
16. Familiar with AGILE and Azure DevOps methodology
17. Hands on PoC capabilities are needed to prove a particular architecture concept
18. Azure Native Services experience across Data Fabric and Service Fabric
19. Experience in Application modernization from legacy on-premise data architecture platform technology stack to modernized Azure Cloud base Architecture.
20. Experience with Git, NoSQL Data Solutions, Microsoft Azure, HD Insights, Azure ML, DataBricks ML Flow, R or Python.
21. Must have excellent communication skills.
EDUCATION/EXPERIENCE:
Minimum of a Bachelor's degree in Computer Science and Engineering is preferred with minimum 10 to 15 years of experience. However, a combination of experience and/or education will be taken into consideration
Job Type: Full-time
Salary: ₹1,500,000.00 to ₹2,300,000.00 /year
Experience:
Azure data Solutions & Big Data Solutions: 3 years (Required)"
Machine Learning Engineer (Contract),"Coimbatore, Tamil Nadu",Research Grid Ltd,"₹50,000 a month",Organic,"Company:
R.grid is an early-stage start-up that streamlines administrative medical research processes by using deep learning.
Job Overview:
We are looking for a Machine Learning Engineer who has skills in Natural Language Processing.
The job responsibilities include working with a team of software engineers building an app that utilizes deep learning-based natural language processing and data science combined with a user-friendly UX.
You should have a strong problem-solving ability and a background in mathematical modeling and statistical analysis.
Responsibilities and Duties:
Build and expand NLP algorithms, analytic systems, and other predictive models
Plan and manage data projects
Collaborate with a team of software engineers and data scientists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan and prioritize data projects
Test performance of data-driven products
Visualize data and create reports
Experiment with new models and techniques
Align data projects with organizational goals
Requirements:
Excellent spoken and written English and comprehension
Proven experience as an NLP Engineer, Data Scientist, Machine Learning Engineer
Solid understanding of machine learning and neural networks
Knowledge of data management and visualization techniques
Expertise in statistical analysis and predictive modeling
Good knowledge of Python, R, and MATLAB
Experience with AWS
Strong organizational and leadership skills
Excellent communication skills
A business mindset
Degree in Computer Science, Data Science, Mathematics, Statistics or similar field
Benefits:
*
Monthly pay
No Saturday work
Business casual dress
Small team
Start-up environment
Job Types: Full-time, Contract
Salary: ₹50,000.00 /month
Experience:
Data Science: 4 years (Required)
AWS: 2 years (Required)
Machine Learning: 4 years (Required)
statistical analysis and predictive modelling: 3 years (Required)
Python: 4 years (Required)
NLP: 3 years (Required)
Education:
Master's (Preferred)
Location:
Coimbatore, Tamil Nadu (Preferred)
Language:
English (Required)"
Data Analyst | Advance Auto Parts | 4-7 years,"Hyderabad, Telangana",Advance Auto Parts,None,Organic,"About the Job
Advance Auto Parts is a leading player in the automotive aftermarket parts industry in the US. As an organization. we are continually innovating and seeking to elevate the customer experience across our 4900+ stores. The company in India is an integral part of the larger organization supporting all regions in the US across IT, Digital, E-Services, Finance, and HR.
You will be one of the many team members who will pave the road ahead for Advance. In your role as a Data Analyst, you will be responsible for delivering business insights through advanced analytics and reporting. Develop answers to complex business questions through data analysis, applying various techniques and methods. Apply a healthy combination of technical skills and business acumen, to translate data into business insights to support data driven decision making.
Role & Responsibilities
Aggregate data from various sources, manipulate and analyze them at scale, support strategic and tactical initiatives
Extract and transform data and join datasets from different sources (Salesforce, MSSQL Server, S3, Google Analytics, etc.) and with different formats (xlsx, csv, .json, etc)
Process, cleanse, and verify data-integrity for analysis. Analyze data for errors and inconsistencies
Identify, analyze, and interpret trends or patterns in complex data sets, comprising of both structured and unstructured data, using statistical techniques and advanced analytics
You will benefit from
Range of Healthcare Perks
Life Insurance
Long-term/Short-term Disability Insurance
Employee Stock Purchase Plan
Sick Leaves
Paid Vacations
Paid Maternity"
Machine Learning Engineer (Contract),"Coimbatore, Tamil Nadu",Research Grid Ltd,"₹50,000 a month",Organic,"Company:
R.grid is an early-stage start-up that streamlines administrative medical research processes by using deep learning.
Job Overview:
We are looking for a Machine Learning Engineer who has skills in Natural Language Processing.
The job responsibilities include working with a team of software engineers building an app that utilizes deep learning-based natural language processing and data science combined with a user-friendly UX.
You should have a strong problem-solving ability and a background in mathematical modeling and statistical analysis.
Responsibilities and Duties:
Build and expand NLP algorithms, analytic systems, and other predictive models
Plan and manage data projects
Collaborate with a team of software engineers and data scientists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan and prioritize data projects
Test performance of data-driven products
Visualize data and create reports
Experiment with new models and techniques
Align data projects with organizational goals
Requirements:
Excellent spoken and written English and comprehension
Proven experience as an NLP Engineer, Data Scientist, Machine Learning Engineer
Solid understanding of machine learning and neural networks
Knowledge of data management and visualization techniques
Expertise in statistical analysis and predictive modeling
Good knowledge of Python, R, and MATLAB
Experience with AWS
Strong organizational and leadership skills
Excellent communication skills
A business mindset
Degree in Computer Science, Data Science, Mathematics, Statistics or similar field
Benefits:
*
Monthly pay
No Saturday work
Business casual dress
Small team
Start-up environment
Job Types: Full-time, Contract
Salary: ₹50,000.00 /month
Experience:
Data Science: 4 years (Required)
AWS: 2 years (Required)
Machine Learning: 4 years (Required)
statistical analysis and predictive modelling: 3 years (Required)
Python: 4 years (Required)
NLP: 3 years (Required)
Education:
Master's (Preferred)
Location:
Coimbatore, Tamil Nadu (Preferred)
Language:
English (Required)"
Data Analyst,"Kochi, Kerala",EW Technologies,"₹50,000 - ₹60,000 a month",Organic,"Salesforce experience an advantage
Job Type: Full-time
Salary: ₹50,000.00 to ₹60,000.00 /month
Experience:
Analysis: 4 years (Preferred)
SQL: 4 years (Preferred)
Education:
Required
Additional Compensation:
Bonuses
Work Location:
One location"
Data Scientist,"Mohali, Punjab",spineor webservices Pvt Ltd Mohali,None,Organic,"We are hiring for Data Scientist/Data Analyst.
Candidate must have worked on large set of data
Candidate must have worked on either java,scala,python,azure spark
Contact No : - 9877730843.
Experience: - 1 to 3 years
Job Type: Full-time
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Machine Learning Engineer/Data Scientist,"Pune, Maharashtra",Mindbowser Info Solutions Pvt Ltd,None,Organic,"Company Description
Mindbowser Info solutions is a digital transformation services provider working with global brands aiding on their journey to digital transformation. Mindbowser offers a suite of products and services around user experience, automation, analytics, and mobility that in turn helps businesses become more efficient and improves profitability.

Job Description
We are looking for a Machine Learning Engineer/Data Scientist to work alongside our innovative and growing data science team.The role will be based in our HQ, located in Pune.
Website: https://www.mindbowser.com/
Job description
Our Data Analysts are expected to explore data, technologies, and the application of mathematical techniques to derive data insights.
Ability to gather the domain specific knowledge of the data.
Should have good quantitative skills and the ability to tell a story using data.
Ability to build and fine tune machine learning algorithms which are first used at a proof-of-concept stage and then at a production level.
Should be able to translate prototypes into new products, and provide guidelines for large-scale implementation.
Exp: 0-6 Months

Key Requirements
Programming skills (Python preferred).
Experience of statistical techniques.
Selecting features, building and optimizing classifiers.
Processing, cleansing, and verifying the integrity of data used for analysis.
A basic understanding of the graphs, chart libraries used for data visualization.

Qualifications
BE/Btech/BCA/MCA
Graduate in any stream
Experience Range - 0-1 year

Additional Information

null"
